id,room_id/id,noted_date,temp,out/in
__export__.temp_log_122384_b6c51a97,Room Admin,29-07-2018 04:19,31,Out
__export__.temp_log_137367_6dddbd0c,Room Admin,29-07-2018 04:19,31,Out
__export__.temp_log_111682_8838044d,Room Admin,29-07-2018 04:19,31,Out
__export__.temp_log_107252_5b85b40a,Room Admin,29-07-2018 04:19,31,Out
__export__.temp_log_88527_26fc8593,Room Admin,29-07-2018 04:19,31,Out
__export__.temp_log_105987_def282a4,Room Admin,28-07-2018 07:29,32,Out
__export__.temp_log_102223_12ce885c,Room Admin,28-07-2018 07:28,32,Out
__export__.temp_log_108326_072864ca,Room Admin,28-07-2018 07:28,32,Out
__export__.temp_log_145991_1c4b65b3,Room Admin,28-07-2018 07:28,32,Out
__export__.temp_log_103937_ef164546,Room Admin,28-07-2018 07:26,32,Out
__export__.temp_log_125825_e729aa10,Room Admin,28-07-2018 07:26,31,Out
__export__.temp_log_139992_c364c7c2,Room Admin,28-07-2018 07:24,32,Out
__export__.temp_log_112728_6f167945,Room Admin,28-07-2018 07:24,31,Out
__export__.temp_log_131897_6b71d333,Room Admin,28-07-2018 07:24,31,In
__export__.temp_log_125453_c2a25c54,Room Admin,28-07-2018 07:24,31,In
__export__.temp_log_89523_fd39bb57,Room Admin,28-07-2018 07:23,31,In
